YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,21141,40885
2024-04,WEEKDAY,11,TRAIN,EW24/NS1,34129,59201
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,NS13,18007,26540
2024-04,WEEKDAY,21,TRAIN,NS13,42866,68941
2024-04,WEEKDAY,5,TRAIN,NS13,26116,4420
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,NS13,5440,895
2024-04,WEEKDAY,5,TRAIN,PW6,642,52
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,PW6,122,5
2024-04,WEEKDAY,13,TRAIN,CC21,14365,8993
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5986,6463
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2106,2196
2024-04,WEEKDAY,14,TRAIN,PE7,3302,5072
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3140,2421
2024-04,WEEKDAY,10,TRAIN,CC20,4810,3063
2024-04,WEEKDAY,21,TRAIN,EW25,4720,14665
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,EW25,2723,5592
2024-04,WEEKDAY,16,TRAIN,CC2,7826,3922
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3167,2708
2024-04,WEEKDAY,14,TRAIN,CC12,10877,6404
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2600,2944
2024-04,WEEKDAY,16,TRAIN,NS20,62383,29030
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,NS20,16198,12409
2024-04,WEEKDAY,16,TRAIN,NS14,27375,33358
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,NS14,14534,12579
2024-04,WEEKDAY,11,TRAIN,NS15,18149,15467
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,NS15,7299,3486
2024-04,WEEKDAY,5,TRAIN,EW21/CC22,2192,1124
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,411,112
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,BP4,900,493
2024-04,WEEKDAY,11,TRAIN,BP4,7852,2325
2024-04,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4567,4391
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1344,2308
2024-04,WEEKDAY,9,TRAIN,NS17/CC15,61068,28942
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,19153,13538
2024-04,WEEKDAY,6,TRAIN,EW10,21035,4576
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4488,1331
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,NS28,342,1861
2024-04,WEEKDAY,8,TRAIN,NS28,902,2859
2024-04,WEEKDAY,7,TRAIN,EW33,13280,16342
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3215,2759
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,BP12,986,976
2024-04,WEEKDAY,18,TRAIN,BP12,3670,7810
2024-04,WEEKDAY,0,TRAIN,EW14/NS26,662,182
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,216,75
2024-04,WEEKDAY,0,TRAIN,CG2,146,461
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,CG2,92,149
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,NE5,6657,7119
2024-04,WEEKDAY,16,TRAIN,NE5,14237,12908
2024-04,WEEKDAY,11,TRAIN,NE16/STC,39673,29260
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,23556,17920
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,TE6,6725,2295
2024-04,WEEKDAY,9,TRAIN,TE6,19419,4115
2024-04,WEEKDAY,13,TRAIN,EW9,24268,17111
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,EW9,13085,11513
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2257,1179
2024-04,WEEKDAY,8,TRAIN,TE5,16182,6921
2024-04,WEEKDAY,17,TRAIN,CC6,15417,21607
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,CC6,8524,13764
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,NE8,7649,9965
2024-04,WEEKDAY,8,TRAIN,NE8,36257,43137
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2071,3851
2024-04,WEEKDAY,20,TRAIN,CC7,4799,9926
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,NS3,4622,10561
2024-04,WEEKDAY,20,TRAIN,NS3,11353,32066
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1963,648
2024-04,WEEKDAY,10,TRAIN,SE3,3558,907
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,7495,9112
2024-04,WEEKDAY,9,TRAIN,EW16/NE3/TE17,26745,70076
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,22090,29203
2024-04,WEEKDAY,18,TRAIN,NE16/STC,67773,149722
2024-04,WEEKDAY,12,TRAIN,TE3,11232,7327
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,TE3,4880,2425
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,EW15,194,43
2024-04,WEEKDAY,5,TRAIN,EW15,842,653
2024-04,WEEKDAY,18,TRAIN,NS7,38480,53339
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,NS7,17405,13532
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NS15,164,569
2024-04,WEEKDAY,0,TRAIN,NS15,499,1367
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,NS15,6047,5011
2024-04,WEEKDAY,15,TRAIN,NS15,34211,13557
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,DT7,718,1190
2024-04,WEEKDAY,22,TRAIN,DT7,1750,2906
2024-04,WEEKDAY,15,TRAIN,PW4,3899,5842
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2973,3014
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1290,1276
2024-04,WEEKDAY,22,TRAIN,TE4,3131,3103
2024-04,WEEKDAY,15,TRAIN,EW23,48641,45568
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,EW23,21589,22369
2024-04,WEEKDAY,20,TRAIN,NE8,38886,41196
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,NE8,29168,18858
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,EW33,2261,3010
2024-04,WEEKDAY,19,TRAIN,EW33,7154,8056
2024-04,WEEKDAY,8,TRAIN,TE16,12836,14232
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2272,1646
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1209,677
2024-04,WEEKDAY,6,TRAIN,CC16,8738,4644
2024-04,WEEKDAY,13,TRAIN,TE4,4625,3441
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2711,2045
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1480,720
2024-04,WEEKDAY,11,TRAIN,BP12,2402,1014
2024-04,WEEKDAY,13,TRAIN,NE17/PTC,39902,40777
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,25542,24036
2024-04,WEEKDAY,23,TRAIN,EW6,1378,6606
2024-04,WEEKENDS/HOLIDAY,23,TRAIN,EW6,626,2677
2024-04,WEEKDAY,12,TRAIN,CC4/DT15,19140,30222
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,5705,13825
2024-04,WEEKDAY,15,TRAIN,NE4/DT19,58337,51040
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,35898,30155
2024-04,WEEKDAY,8,TRAIN,SW1,4312,7432
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,SW1,908,719
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,NS10,23121,10166
2024-04,WEEKDAY,9,TRAIN,NS10,59043,24670
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,BP5,643,404
2024-04,WEEKDAY,7,TRAIN,BP5,6712,3560
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2060,575
2024-04,WEEKDAY,8,TRAIN,SW6,12222,2977
2024-04,WEEKDAY,16,TRAIN,EW4,18468,15416
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,EW4,6911,6878
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2127,3075
2024-04,WEEKDAY,14,TRAIN,CC2,4465,5991
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,NE14,18251,10967
2024-04,WEEKDAY,12,TRAIN,NE14,28957,19215
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,34898,17070
2024-04,WEEKDAY,20,TRAIN,NE4/DT19,83585,38342
2024-04,WEEKDAY,0,TRAIN,SE5,34,379
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,SE5,25,200
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,DT33,6418,2865
2024-04,WEEKDAY,7,TRAIN,DT33,70445,33277
2024-04,WEEKDAY,0,TRAIN,DT24,43,442
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,DT24,35,249
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NS18,92,752
2024-04,WEEKDAY,0,TRAIN,NS18,218,1711
2024-04,WEEKDAY,22,TRAIN,NS24/NE6/CC1,35918,10631
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,13632,5237
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4384,8494
2024-04,WEEKDAY,21,TRAIN,EW3,10350,23215
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,7781,1719
2024-04,WEEKDAY,21,TRAIN,CG1/DT35,19004,3093
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,30401,30321
2024-04,WEEKDAY,13,TRAIN,NS21/DT11,50914,64133
2024-04,WEEKDAY,17,TRAIN,TE12,14545,3474
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2095,1183
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,CC23,838,2495
2024-04,WEEKDAY,7,TRAIN,CC23,3857,39597
2024-04,WEEKDAY,16,TRAIN,SW1,5767,2628
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1462,881
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,NE15,4861,12418
2024-04,WEEKDAY,20,TRAIN,NE15,10613,37963
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5969,3807
2024-04,WEEKDAY,13,TRAIN,EW29,8971,6978
2024-04,WEEKDAY,13,TRAIN,EW30,1297,1133
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1086,480
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,EW32,2448,5491
2024-04,WEEKDAY,7,TRAIN,EW32,5947,34137
2024-04,WEEKDAY,7,TRAIN,NE14,99887,42668
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,NE14,10881,4908
2024-04,WEEKDAY,13,TRAIN,SE3,4001,3249
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1422,1410
2024-04,WEEKDAY,20,TRAIN,EW30,7010,1511
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,EW30,978,1384
2024-04,WEEKDAY,12,TRAIN,NS17/CC15,41554,38460
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,24844,19586
