,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
32,80,876520cb6ffffff,1.394022660457866,103.78547198270768,"POLYGON ((103.79844913178333 1.3904447720276998, 103.79529084608954 1.403505329929531, 103.78231295242928 1.4070838686539529, 103.7724937646482 1.397600761245646, 103.77565324020598 1.3845399904210423, 103.78863071389692 1.3809625397353713, 103.79844913178333 1.3904447720276998))",4.0012217,2.5085053,3.8539448,5.214893,10.785445,14.131274,12.302631,28.542356,38.15029,46.85219,85.17164,67.502464,20.901215,22.642406,15.940679,6.007259
33,82,876520d80ffffff,1.2765208836823287,103.81388979899276,"POLYGON ((103.82686024698725 1.272948875428373, 103.82370465222179 1.2859995923792649, 103.81073345967906 1.2895722564279495, 103.80091828010843 1.2800931115256649, 103.80407506487525 1.267042182687771, 103.81704583942681 1.2634706104465245, 103.82686024698725 1.272948875428373))",158.79765,122.19404,54.07942,51.977192,63.868896,75.705826,66.523224,68.196266,80.580414,84.29088,229.86467,224.98683,92.442184,65.33753,56.990566,23.751698
34,84,876520c91ffffff,1.4380452549493723,103.7142444274224,"POLYGON ((103.72722839645722 1.4344650184408898, 103.7240657916877 1.4475309857646879, 103.71108107912544 1.4511118673061374, 103.70125939583677 1.4416256993884882, 103.70442318829011 1.428559523907614, 103.7174074765655 1.4249797243094533, 103.72722839645722 1.4344650184408898))",63.802525,90.68601,46.112648,20.505104,87.776665,15.572135,44.258495,54.421997,72.89048,154.60602,169.42358,222.9635,124.02444,36.263523,12.573967,2.1032736
35,86,876526acdffffff,1.3001420417913372,103.9050199961694,"POLYGON ((103.91798481896618 1.2965691651841897, 103.91483399257189 1.3096190135451413, 103.90186842352671 1.313192549921627, 103.89205409376471 1.3037151392497182, 103.89520611350403 1.2906650705856044, 103.9081712698745 1.2870926327041046, 103.91798481896618 1.2965691651841897))",401.86047,230.72221,119.15633,111.84483,135.14966,147.20985,145.36469,141.19498,139.98337,155.04695,213.63321,125.76197,100.5897,94.201836,90.52302,36.912804
36,88,876520d94ffffff,1.3108619944872355,103.86611905490538,"POLYGON ((103.8790871129454 1.3072884570011563, 103.87593404843454 1.3203402822679917, 103.86296524477537 1.3239144771205373, 103.85314992083924 1.314435751149279, 103.85630417742213 1.3013837085594993, 103.8692725660839 1.2978106090714792, 103.8790871129454 1.3072884570011563))",418.48544,221.69765,90.6686,75.08508,98.90613,114.279495,133.97105,111.43002,158.09386,291.4717,479.9623,270.5454,129.44777,114.51069,124.2272,56.037468
37,89,876526343ffffff,1.4509186213770906,103.8443869560916,"POLYGON ((103.85736214128214 1.4473380973413135, 103.85420653268818 1.4604012589974378, 103.84123060161896 1.4639824344793546, 103.83141069599597 1.4544993563124489, 103.83456749692752 1.44143597505994, 103.84754301135985 1.4378558913788622, 103.85736214128214 1.4473380973413135))",7.3516126,4.8168535,6.4421597,5.5536346,3.6846907,2.622337,2.9637651,1.3030127,1.8341653,2.3372824,3.8706076,3.151182,2.5238314,1.6944116,1.0820607,0.24654908
38,91,876526365ffffff,1.355926384908106,103.87944302514973,"POLYGON ((103.89241191173834 1.3523506552277593, 103.88925914311058 1.3654055461835943, 103.87628951046433 1.3689819323959165, 103.86647306098601 1.3595023316754573, 103.86962702247827 1.346447220941025, 103.882596240799 1.3428719305134098, 103.89241191173834 1.3523506552277593))",810.89233,542.9158,361.03397,232.40407,234.93718,264.86377,357.9605,272.16132,305.1679,442.23245,537.33124,439.34753,292.71924,251.18134,177.84518,75.17849
39,93,876520cf4ffffff,1.3301270449244569,103.61920524390852,"POLYGON ((103.63219162925101 1.3265518015997146, 103.6290248885901 1.3396122710907536, 103.61603776190061 1.3431881581412333, 103.60621780570142 1.3337024994332205, 103.60938572990716 1.320641833012919, 103.62237242698568 1.3170670220373648, 103.63219162925101 1.3265518015997146))",43.912888,11.648702,6.580099,76.01359,38.01782,27.747025,41.403248,54.53603,57.523594,315.18152,140.31209,118.72189,65.52859,6.4377165,0.7935992,-0.39269623
40,94,876520d93ffffff,1.3441184110126028,103.83386881148438,"POLYGON ((103.8468405107822 1.3405431248181052, 103.84368535726132 1.3535984532251224, 103.83071291275662 1.357174393961824, 103.82089603897339 1.3476939136597839, 103.82405238368568 1.3346383696865007, 103.83702441120512 1.3310635213891948, 103.8468405107822 1.3405431248181052))",430.64362,314.27396,143.96121,131.87485,159.9878,198.89511,184.19897,231.4019,236.28119,330.40753,579.4396,204.40897,195.04308,181.75932,165.34015,72.18688
41,95,876526360ffffff,1.3784615295055411,103.88610607542796,"POLYGON ((103.8990753757867 1.3748847034136293, 103.89592275530256 1.387941121650294, 103.88295270866693 1.3915186038560587, 103.87313569671942 1.3820385716395747, 103.87628951046433 1.3689819323959165, 103.88925914311058 1.3654055461835943, 103.8990753757867 1.3748847034136293))",485.2396,309.77148,269.76944,209.80286,215.80447,230.51674,184.28108,182.87958,144.95647,231.74274,298.82614,230.16443,122.48762,106.34517,78.64412,33.90809
42,97,876526361ffffff,1.372558534892787,103.8633188004531,"POLYGON ((103.87628951046433 1.3689819323959165, 103.87313569671942 1.3820385716395747, 103.86016424085615 1.3856158292553342, 103.8503470142723 1.3761353531139449, 103.8535020204423 1.3630784949699075, 103.86647306098601 1.3595023316754573, 103.87628951046433 1.3689819323959165))",-10.475039,100.470146,82.66603,75.16944,85.18296,82.822174,85.4086,72.996925,116.558556,97.6111,177.10687,92.315796,43.277615,34.432632,21.219385,11.757162
43,98,87652636cffffff,1.3666548742313194,103.84052990471436,"POLYGON ((103.8535020204423 1.3630784949699075, 103.8503470142723 1.3761353531139449, 103.83737415311795 1.379712386498886, 103.82755671499851 1.3702314688993193, 103.83071291275662 1.357174393961824, 103.84368535726132 1.3535984532251224, 103.8535020204423 1.3630784949699075))",596.6782,340.37482,213.03998,146.1136,175.17256,190.45363,213.98755,160.27791,161.27124,293.48212,270.45175,122.64224,187.72458,156.22026,118.26318,54.183517
44,104,876520caeffffff,1.3478537653679212,103.6876177318712,"POLYGON ((103.70060000263561 1.3442778570911098, 103.69743681770333 1.3573377231325918, 103.68445380429384 1.3609142781328898, 103.67463440165727 1.3514298857803058, 103.67779877268015 1.3383698164789597, 103.69078136046642 1.3347943425976518, 103.70060000263561 1.3442778570911098))",196.55638,59.708977,69.18763,94.97978,129.87233,83.398026,128.20041,139.13664,208.1426,268.9615,274.15643,136.31216,96.22508,87.413246,57.966236,22.907034
45,105,87652636dffffff,1.3607505503480268,103.81773939524987,"POLYGON ((103.83071291275662 1.357174393961824, 103.82755671499851 1.3702314688993193, 103.81458245249179 1.3738082784132777, 103.8047648059384 1.3643269218232372, 103.80792219444629 1.3512696321995141, 103.82089603897339 1.3476939136597839, 103.83071291275662 1.357174393961824))",602.7918,271.9068,153.01917,140.7267,151.65724,143.9215,291.09918,184.82971,175.47182,164.32376,244.35768,101.06796,123.90248,74.83171,73.58934,20.400602
46,108,876526366ffffff,1.3843638552443331,103.90889172260376,"POLYGON ((103.9218596093765 1.3807868051984415, 103.91870818298749 1.3938430003218178, 103.90573954951384 1.3974207074761071, 103.89592275530256 1.387941121650294, 103.8990753757867 1.3748847034136293, 103.91204359660128 1.3713080939239661, 103.9218596093765 1.3807868051984415))",364.18887,238.92056,192.18607,136.20782,161.89789,150.87714,157.94237,146.1312,112.040215,163.40556,193.60814,116.351585,73.41276,47.01922,35.82947,19.413324
47,109,876520c90ffffff,1.443950311909935,103.73704944070978,"POLYGON ((103.75003202498901 1.4403698463056551, 103.7468706087484 1.4534356033603149, 103.7338872805112 1.457016714997125, 103.7240657916877 1.4475309857646879, 103.72722839645722 1.4344650184408898, 103.74021130173824 1.4308849904266947, 103.75003202498901 1.4403698463056551))",49.43414,16.232515,47.94098,118.556755,66.81985,41.861675,220.57745,138.13817,222.35643,199.73775,316.60287,538.1005,28.735516,3.1518703,-1.8129121,0.003872686
48,111,876520db2ffffff,1.2942377295607472,103.88223987850928,"POLYGON ((103.89520611350403 1.2906650705856044, 103.89205409376471 1.3037151392497182, 103.8790871129454 1.3072884570011563, 103.8692725660839 1.2978106090714792, 103.87242577833429 1.2847603222077824, 103.88539234514963 1.2811881012808402, 103.89520611350403 1.2906650705856044))",292.6377,132.17554,65.77566,78.832504,129.226,95.50745,61.527218,150.45094,196.45955,291.1561,344.8916,149.71292,106.01388,125.82598,342.36514,88.136444
