,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
26,49,876526acbffffff,1.339296857974865,103.89556438133464,"POLYGON ((103.908531442891 1.3357220038846724, 103.90537971955744 1.3487751431940527, 103.89241191173834 1.3523506552277593, 103.882596240799 1.3428719305134098, 103.88574915743565 1.3298185705483503, 103.89871655192294 1.326244155761029, 103.908531442891 1.3357220038846724))",95.79129,168.72946,169.29903,160.85925,241.04784,242.54802,187.25882,147.2959,188.07022,236.14218,260.7631,376.98434,242.08049,167.26768,90.63754,40.03249
27,51,87652634cffffff,1.4224706617565122,103.8149289331956,"POLYGON ((103.82790510379843 1.418891457480825, 103.82474815577062 1.4319533214013151, 103.81177123993554 1.4355331765474175, 103.80195169064754 1.4260500776602685, 103.80510982977702 1.4129879974808313, 103.81808632730858 1.4094092322554912, 103.82790510379843 1.418891457480825))",132.239,61.30751,155.2402,85.917274,95.46972,95.668236,62.35873,77.218376,110.122116,140.99663,74.21608,103.026825,69.26432,24.136246,21.055914,10.271745
28,66,876526345ffffff,1.4117336860617464,103.8538542243765,"POLYGON ((103.86682717195733 1.4081551200418196, 103.8636724608933 1.421215026522301, 103.85069876744701 1.424794245826658, 103.84088020125792 1.4153124653952864, 103.84403610470349 1.4022523396658193, 103.85700938217177 1.3986742134246968, 103.86682717195733 1.4081551200418196))",37.216488,79.370255,101.25602,89.13323,63.978115,67.96895,41.245876,34.938797,59.068222,113.06871,61.68172,31.39495,21.199648,16.902252,10.17269,3.7403064
29,70,876520ca4ffffff,1.3204945821009595,103.74270110294889,"POLYGON ((103.75567838039409 1.3169201785387707, 103.75251846714404 1.329976356569883, 103.73954044620316 1.3335514106898634, 103.72972276103219 1.324069200848668, 103.73288386211159 1.3110128156796075, 103.74586146074918 1.3074388472971907, 103.75567838039409 1.3169201785387707))",224.57368,249.05562,183.98013,186.99312,194.54953,169.06792,150.86382,150.91536,180.97305,249.52234,196.95306,210.3973,144.5702,136.75278,58.840076,24.540861
30,75,876526ac1ffffff,1.31194869469402,103.95057532605384,"POLYGON ((103.96353731267068 1.3083753817393393, 103.96038887546295 1.3214247831844887, 103.94742614175246 1.3249987578933569, 103.93761225547904 1.3155222291315858, 103.9407618876957 1.3024726031770553, 103.9537242113904 1.2988997303013095, 103.96353731267068 1.3083753817393393))",71.71304,104.521576,186.50533,113.54089,84.11462,87.42941,59.08473,56.644516,87.58951,41.151726,94.41629,72.316086,47.353565,44.9221,29.509295,10.323459
31,78,87652634bffffff,1.4557584155801362,103.78265471199616,"POLYGON ((103.79563451491182 1.4521774907063478, 103.79247547825899 1.465242820887768, 103.77949493052675 1.4688243937919956, 103.76967383995807 1.459339549344443, 103.77283406682604 1.4462740046706772, 103.78581419426384 1.4426935187449206, 103.79563451491182 1.4521774907063478))",381.49445,241.47908,192.60234,315.5729,375.18604,293.27478,295.31836,359.77438,353.66708,1055.5103,887.7851,332.02414,424.68704,161.80362,107.00814,59.65409
32,80,876520cb6ffffff,1.394022660457866,103.78547198270768,"POLYGON ((103.79844913178333 1.3904447720276998, 103.79529084608954 1.403505329929531, 103.78231295242928 1.4070838686539529, 103.7724937646482 1.397600761245646, 103.77565324020598 1.3845399904210423, 103.78863071389692 1.3809625397353713, 103.79844913178333 1.3904447720276998))",4.325823,4.964243,3.4196525,8.719368,6.153656,14.944355,42.790592,89.20814,132.64049,169.66072,191.61554,52.36055,24.526106,30.393984,39.50194,12.639117
33,82,876520d80ffffff,1.2765208836823287,103.81388979899276,"POLYGON ((103.82686024698725 1.272948875428373, 103.82370465222179 1.2859995923792649, 103.81073345967906 1.2895722564279495, 103.80091828010843 1.2800931115256649, 103.80407506487525 1.267042182687771, 103.81704583942681 1.2634706104465245, 103.82686024698725 1.272948875428373))",40.339607,150.13948,155.36235,123.65226,113.43182,88.891754,79.94494,88.4653,119.74057,173.601,162.24211,116.81353,73.41922,69.825294,59.030987,25.953138
34,84,876520c91ffffff,1.4380452549493723,103.7142444274224,"POLYGON ((103.72722839645722 1.4344650184408898, 103.7240657916877 1.4475309857646879, 103.71108107912544 1.4511118673061374, 103.70125939583677 1.4416256993884882, 103.70442318829011 1.428559523907614, 103.7174074765655 1.4249797243094533, 103.72722839645722 1.4344650184408898))",42.08622,68.4653,66.07642,50.88493,31.603666,18.079697,16.15758,21.922243,25.9656,72.214134,39.238167,124.64899,45.986446,18.04715,3.2306707,3.0588024
35,86,876526acdffffff,1.3001420417913372,103.9050199961694,"POLYGON ((103.91798481896618 1.2965691651841897, 103.91483399257189 1.3096190135451413, 103.90186842352671 1.313192549921627, 103.89205409376471 1.3037151392497182, 103.89520611350403 1.2906650705856044, 103.9081712698745 1.2870926327041046, 103.91798481896618 1.2965691651841897))",120.14343,194.50308,174.35223,159.79791,179.01071,196.3333,183.13351,260.0808,235.84358,304.26086,259.9466,185.75089,199.48831,245.85678,136.19968,42.660305
36,88,876520d94ffffff,1.3108619944872355,103.86611905490538,"POLYGON ((103.8790871129454 1.3072884570011563, 103.87593404843454 1.3203402822679917, 103.86296524477537 1.3239144771205373, 103.85314992083924 1.314435751149279, 103.85630417742213 1.3013837085594993, 103.8692725660839 1.2978106090714792, 103.8790871129454 1.3072884570011563))",223.29805,185.09361,187.24286,164.66049,194.46672,175.34433,180.76067,161.8601,236.96758,352.822,336.3517,355.74664,261.94257,267.80215,236.87695,80.40189
37,89,876526343ffffff,1.4509186213770906,103.8443869560916,"POLYGON ((103.85736214128214 1.4473380973413135, 103.85420653268818 1.4604012589974378, 103.84123060161896 1.4639824344793546, 103.83141069599597 1.4544993563124489, 103.83456749692752 1.44143597505994, 103.84754301135985 1.4378558913788622, 103.85736214128214 1.4473380973413135))",1.6475286,16.530867,7.2289877,13.438394,5.3129916,4.9260616,3.381673,7.6680317,5.3001404,7.5973687,5.766117,10.647268,3.4404953,2.9866295,2.7347522,0.9498601
38,91,876526365ffffff,1.355926384908106,103.87944302514973,"POLYGON ((103.89241191173834 1.3523506552277593, 103.88925914311058 1.3654055461835943, 103.87628951046433 1.3689819323959165, 103.86647306098601 1.3595023316754573, 103.86962702247827 1.346447220941025, 103.882596240799 1.3428719305134098, 103.89241191173834 1.3523506552277593))",454.61365,364.06146,475.88763,459.4599,487.96652,520.3059,432.6826,422.81912,486.32803,580.3124,515.8818,562.08966,451.43506,370.01575,261.96317,110.66849
39,93,876520cf4ffffff,1.3301270449244569,103.61920524390852,"POLYGON ((103.63219162925101 1.3265518015997146, 103.6290248885901 1.3396122710907536, 103.61603776190061 1.3431881581412333, 103.60621780570142 1.3337024994332205, 103.60938572990716 1.320641833012919, 103.62237242698568 1.3170670220373648, 103.63219162925101 1.3265518015997146))",16.86308,2.6269689,3.860617,7.226283,4.248098,8.354375,4.8173413,10.515699,16.325106,7.2973166,22.737564,31.616844,15.748263,3.0785093,4.391216,-0.048082672
40,94,876520d93ffffff,1.3441184110126028,103.83386881148438,"POLYGON ((103.8468405107822 1.3405431248181052, 103.84368535726132 1.3535984532251224, 103.83071291275662 1.357174393961824, 103.82089603897339 1.3476939136597839, 103.82405238368568 1.3346383696865007, 103.83702441120512 1.3310635213891948, 103.8468405107822 1.3405431248181052))",176.46227,332.8195,282.31424,244.99098,335.58835,343.27722,299.72815,293.28317,424.20374,286.1278,486.88867,326.5935,248.0926,245.98111,202.39894,89.09795
41,95,876526360ffffff,1.3784615295055411,103.88610607542796,"POLYGON ((103.8990753757867 1.3748847034136293, 103.89592275530256 1.387941121650294, 103.88295270866693 1.3915186038560587, 103.87313569671942 1.3820385716395747, 103.87628951046433 1.3689819323959165, 103.88925914311058 1.3654055461835943, 103.8990753757867 1.3748847034136293))",248.6302,302.1735,273.85666,337.20065,306.49844,272.5759,230.1129,219.09198,216.17972,228.34439,234.81541,240.8407,185.67914,163.42038,101.79638,45.735226
42,97,876526361ffffff,1.372558534892787,103.8633188004531,"POLYGON ((103.87628951046433 1.3689819323959165, 103.87313569671942 1.3820385716395747, 103.86016424085615 1.3856158292553342, 103.8503470142723 1.3761353531139449, 103.8535020204423 1.3630784949699075, 103.86647306098601 1.3595023316754573, 103.87628951046433 1.3689819323959165))",134.58167,124.849045,99.468704,117.30235,103.62436,90.77079,66.382065,82.6677,89.085556,54.474197,96.54615,94.470985,50.62985,45.819916,32.468178,13.835751
43,98,87652636cffffff,1.3666548742313194,103.84052990471436,"POLYGON ((103.8535020204423 1.3630784949699075, 103.8503470142723 1.3761353531139449, 103.83737415311795 1.379712386498886, 103.82755671499851 1.3702314688993193, 103.83071291275662 1.357174393961824, 103.84368535726132 1.3535984532251224, 103.8535020204423 1.3630784949699075))",353.80588,375.79324,332.11496,324.0918,325.87808,290.62888,271.1466,264.4797,266.1352,307.15942,328.60754,298.63324,226.86496,223.71463,183.68552,74.472664
44,104,876520caeffffff,1.3478537653679212,103.6876177318712,"POLYGON ((103.70060000263561 1.3442778570911098, 103.69743681770333 1.3573377231325918, 103.68445380429384 1.3609142781328898, 103.67463440165727 1.3514298857803058, 103.67779877268015 1.3383698164789597, 103.69078136046642 1.3347943425976518, 103.70060000263561 1.3442778570911098))",112.94417,179.56168,189.79248,259.69394,285.81165,153.30908,152.52423,150.28737,178.56139,214.0997,166.95505,133.39847,68.86498,55.259064,44.43078,26.743042
45,105,87652636dffffff,1.3607505503480268,103.81773939524987,"POLYGON ((103.83071291275662 1.357174393961824, 103.82755671499851 1.3702314688993193, 103.81458245249179 1.3738082784132777, 103.8047648059384 1.3643269218232372, 103.80792219444629 1.3512696321995141, 103.82089603897339 1.3476939136597839, 103.83071291275662 1.357174393961824))",183.32516,203.39497,355.52576,276.90305,258.3817,252.93105,109.34161,93.30091,187.23964,87.50498,331.73178,109.52913,147.94446,67.27638,62.23243,38.786144
46,108,876526366ffffff,1.3843638552443331,103.90889172260376,"POLYGON ((103.9218596093765 1.3807868051984415, 103.91870818298749 1.3938430003218178, 103.90573954951384 1.3974207074761071, 103.89592275530256 1.387941121650294, 103.8990753757867 1.3748847034136293, 103.91204359660128 1.3713080939239661, 103.9218596093765 1.3807868051984415))",133.14746,175.38004,230.62503,216.75632,191.23128,181.00296,143.19809,162.89401,136.01006,202.29478,153.72917,155.99953,99.567345,78.00705,50.40746,26.732347
47,109,876520c90ffffff,1.443950311909935,103.73704944070978,"POLYGON ((103.75003202498901 1.4403698463056551, 103.7468706087484 1.4534356033603149, 103.7338872805112 1.457016714997125, 103.7240657916877 1.4475309857646879, 103.72722839645722 1.4344650184408898, 103.74021130173824 1.4308849904266947, 103.75003202498901 1.4403698463056551))",93.28158,216.96014,141.09882,245.2203,222.74791,276.4863,306.49295,152.72687,701.65765,408.86963,706.7392,390.8021,17.06735,5.943053,0.2585542,0.032920033
48,111,876520db2ffffff,1.2942377295607472,103.88223987850928,"POLYGON ((103.89520611350403 1.2906650705856044, 103.89205409376471 1.3037151392497182, 103.8790871129454 1.3072884570011563, 103.8692725660839 1.2978106090714792, 103.87242577833429 1.2847603222077824, 103.88539234514963 1.2811881012808402, 103.89520611350403 1.2906650705856044))",189.58644,164.63115,152.24141,159.0537,208.4682,178.5051,180.50381,259.32742,219.14052,296.0125,264.3356,145.51035,242.2448,505.75574,318.8028,152.32846
49,112,876520d96ffffff,1.3333932040264536,103.87278068495333,"POLYGON ((103.88574915743565 1.3298185705483503, 103.882596240799 1.3428719305134098, 103.86962702247827 1.346447220941025, 103.85981113567044 1.3369680556361725, 103.86296524477537 1.3239144771205373, 103.87593404843454 1.3203402822679917, 103.88574915743565 1.3298185705483503))",196.15422,157.52835,252.62964,253.67429,301.86102,244.38156,193.51607,248.89807,218.24472,298.05554,377.88782,271.28177,148.1519,139.4776,93.3267,42.279675
50,122,876520ca2ffffff,1.3596683438701729,103.73321823578286,"POLYGON ((103.74619774372594 1.3560919904715407, 103.74303693351146 1.3691514436646954, 103.73005668206191 1.3727284457833266, 103.72023766400768 1.3632449100393598, 103.72339966200339 1.350185249367376, 103.73637949048889 1.3466093317258558, 103.74619774372594 1.3560919904715407))",111.47656,180.12036,215.95857,271.71805,257.61237,191.1552,149.91888,138.35765,145.31525,190.94136,169.25162,110.47538,100.6121,58.165596,33.213352,20.283394
51,123,87652634dffffff,1.4165669745772949,103.79213226128724,"POLYGON ((103.80510982977702 1.4129879974808313, 103.80195169064754 1.4260500776602685, 103.7889733773531 1.4296297046297497, 103.77915362303837 1.4201461629826848, 103.78231295242928 1.4070838686539529, 103.79529084608954 1.403505329929531, 103.80510982977702 1.4129879974808313))",231.28436,208.57759,145.85664,173.17075,150.14566,109.26897,217.81143,185.66277,119.43267,238.78316,230.30673,128.75716,65.554924,44.65372,44.89835,39.03837
52,125,876526ad0ffffff,1.3688051328968758,104.00945826818445,"POLYGON ((104.02241821618804 1.3652291703569686, 104.01927247184574 1.3782811748226018, 104.0063117754698 1.3818578002698463, 103.99649723033046 1.372381315470655, 103.99964417213006 1.359329079828632, 104.01260446182451 1.3557535599701214, 104.02241821618804 1.3652291703569686))",15.987017,39.3217,25.022114,75.483734,48.82433,38.45699,140.95435,47.463043,-0.1562628,-0.041519877,0.22859284,0.0,0.0,0.0,0.0,0.0
53,126,876520ca1ffffff,1.331219081657985,103.703762888589,"POLYGON ((103.71674335584503 1.3276440342212938, 103.71358121274734 1.340702161511573, 103.70060000263561 1.3442778570911098, 103.69078136046642 1.3347943425976518, 103.69394469010263 1.321736011161814, 103.70692547558666 1.3181613981725244, 103.71674335584503 1.3276440342212938))",612.8329,594.8222,869.0735,897.5081,1148.2567,865.123,1096.6794,780.8204,701.9004,1265.8063,858.3565,932.8159,961.38434,755.019,471.53503,200.15074
54,127,876520d9cffffff,1.3156782951100048,103.8044198843196,"POLYGON ((103.81739256597116 1.3121043213006798, 103.81423607443938 1.325158330600942, 103.80126264822724 1.328732958375338, 103.79144613241267 1.3192524861014725, 103.79460381390041 1.3061982645677734, 103.80757682146245 1.3026247273489049, 103.81739256597116 1.3121043213006798))",80.54309,322.3995,304.67105,307.17447,348.06262,217.85934,216.9469,209.36862,346.9266,454.5103,351.7608,292.55103,215.67584,178.72665,171.0703,63.075176
55,129,876520ca3ffffff,1.3537613800234791,103.71041877067414,"POLYGON ((103.72339966200339 1.350185249367376, 103.72023766400768 1.3632449100393598, 103.70725602960225 1.366821688417406, 103.69743681770333 1.3573377231325918, 103.70060000263561 1.3442778570911098, 103.71358121274734 1.340702161511573, 103.72339966200339 1.350185249367376))",169.70872,269.60498,218.89569,351.09076,338.7594,210.99413,185.67946,186.55862,150.93185,211.1076,113.7958,156.47487,117.410355,77.153595,46.110245,19.616467
56,130,876520d92ffffff,1.3500227286981847,103.85665672756724,"POLYGON ((103.86962702247827 1.346447220941025, 103.86647306098601 1.3595023316754573, 103.8535020204423 1.3630784949699075, 103.84368535726132 1.3535984532251224, 103.8468405107822 1.3405431248181052, 103.85981113567044 1.3369680556361725, 103.86962702247827 1.346447220941025))",70.608894,234.29271,203.09277,226.79512,92.04994,250.92123,214.70703,202.03102,182.38454,251.95497,230.2662,220.27551,174.55855,125.05662,93.23648,39.727566
57,131,876526340ffffff,1.4342760194024142,103.86051745067604,"POLYGON ((103.87349081367931 1.43069635969269, 103.87033625037043 1.4437577847675855, 103.85736214128214 1.4473380973413135, 103.84754301135985 1.4378558913788622, 103.85069876744701 1.424794245826658, 103.8636724608933 1.421215026522301, 103.87349081367931 1.43069635969269))",5.9797215,10.379671,7.4942174,5.455392,7.8402925,10.0937605,5.5993505,4.7551484,5.779666,13.937674,8.389589,6.5408587,4.4746094,3.9150789,3.34637,0.91853166
58,133,876520d98ffffff,1.332307802528715,103.78828815197144,"POLYGON ((103.80126264822724 1.328732958375338, 103.79810511316208 1.341788715808257, 103.7851298725534 1.3453642125124379, 103.77531258687033 1.335882862500946, 103.77847131144851 1.3228268937153145, 103.79144613241267 1.3192524861014725, 103.80126264822724 1.328732958375338))",327.00012,290.45532,502.57132,322.25748,601.8375,263.78705,198.05522,292.13834,417.18988,602.5253,547.94055,253.67194,173.71182,159.44275,133.5693,48.389946
